	1	2	3	4	5
movieIncept	0.12671833792560933	-0.09373363535514397	-0.41778746526284477	-0.05020441218057736	0.14082084663250607
fingerTapping	-0.1290301939466425	-0.08528024899809006	0.1586564953631174	-0.05557204012090733	0.16608604920889106
reading	-0.011813239193181295	0.02332420172024697	-0.32306277210135775	-0.11077099216642108	0.021395082024219664
twoBackScenes	0.4405354073411732	-0.1990092360465137	0.24166057225716145	-0.0038755450743926004	-0.20962671401196797
friend	-0.12033734411688246	-0.016531344499749353	-0.23279980366136008	0.010999723118740234	0.1251725990971805
memory	-0.20124945516446044	0.05172473041364563	-0.368873556270659	-0.020333534567451066	0.19650401232776654
movieBridge	0.01587811287078267	-0.0787403333570161	-0.4554360690791508	0.03626598316768603	0.2852221824913191
easyMath	0.1965728997438687	-0.1142105853566675	0.01194342730343885	0.016929395432578122	-0.0836871514369894
gonogo	0.22192762451616735	-0.07688370895815146	0.1501555635618609	-0.17667704025155	-0.18479214194445984
oneBack	0.08319735238016583	-0.10534829219508982	0.3771152671604436	-0.08568460891143873	-0.024302991062373155
twoBackFaces	0.38017607912453427	-0.19232234517224878	0.3118308333470645	0.034786440141286325	-0.1799156409778275
hardMath	0.4623539103068721	-0.05370824443770695	0.35578313677159096	-0.11037984910299653	-0.2694043296441585
zeroBack	-0.11313854790483306	-0.14865623225811295	0.056204550075546	-0.006452318879150304	0.1204555405276259
you	-0.1546715820943439	0.02581081153442905	-0.2511791100152354	-0.0801470149222379	0.12372989500950266
